"{'uuid': 'f4730c2e-9a97-479a-93f7-54e61354e971', 'side': 'bid', 'ord_type': 'limit', 'price': '160000000', 'avg_price': '160080000', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2025-07-23T18:24:10+09:00', 'volume': '0.10955552', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '8764.4416', 'remaining_fee': '0', 'paid_fee': '8764.4416', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.10955552', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '813213eb-8d29-4e1f-b0ef-eee4275bea0e', 'side': 'bid', 'ord_type': 'limit', 'price': '139682000', 'avg_price': '139751841', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-09T12:26:02+09:00', 'volume': '0.0178839', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1249.0294599', 'remaining_fee': '0', 'paid_fee': '1249.0294599', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.0178839', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '044412cf-ff61-4e3e-a17a-f9c70cd8b314', 'side': 'bid', 'ord_type': 'limit', 'price': '143900000', 'avg_price': '143971950', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-05T19:23:16+09:00', 'volume': '0.05191234', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '3735.092863', 'remaining_fee': '0', 'paid_fee': '3735.092863', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.05191234', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '65e96d1b-a797-4a28-8dcc-6466b3c10b94', 'side': 'ask', 'ord_type': 'limit', 'price': '135600000', 'avg_price': '135411516', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-12-03T12:35:53+09:00', 'volume': '0.07362746', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '13877.59817064', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.07362746', 'trades_count': 1, 'watch_price': '135600000', 'watch_condition': 'gte', 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': False}"
"{'uuid': '5c54318c-97fb-4930-93ab-247ae3db700a', 'side': 'bid', 'ord_type': 'limit', 'price': '135751000', 'avg_price': '135818875.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-11-24T18:32:26+09:00', 'volume': '0.07362746', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '4997.50066123', 'remaining_fee': '0', 'paid_fee': '4997.50066123', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.07362746', 'trades_count': 5, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '748906e7-094e-4101-b93e-8121d6e5f8d6', 'side': 'ask', 'ord_type': 'limit', 'price': '89833000', 'avg_price': '89788083.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-10-14T20:22:01+09:00', 'volume': '0.57990156', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '26047.14841974', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.57990156', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '3c2b7b11-8f4f-4f77-9054-03073008bde0', 'side': 'bid', 'ord_type': 'limit', 'price': '81582000', 'avg_price': '81622791', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-19T09:30:38+09:00', 'volume': '0.06130802', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2500.81544382', 'remaining_fee': '0', 'paid_fee': '2500.81544382', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.06130802', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '382ff68b-80f9-4a26-a28f-dfd9997e40e4', 'side': 'bid', 'ord_type': 'limit', 'price': '82409000', 'avg_price': '82450204.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-12T10:00:34+09:00', 'volume': '0.12148099', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5005.563452455', 'remaining_fee': '0', 'paid_fee': '5005.563452455', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.12148099', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '9c12a6ad-d180-40b0-b4da-e340ea184480', 'side': 'bid', 'ord_type': 'limit', 'price': '85971000', 'avg_price': '86013985.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-09T13:20:44+09:00', 'volume': '0.1290044', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5545.3186362', 'remaining_fee': '0', 'paid_fee': '5545.3186362', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.1290044', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '63902086-e928-48e8-ba7f-172f861d76ae', 'side': 'bid', 'ord_type': 'limit', 'price': '80597000', 'avg_price': '80637298.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-08T21:18:17+09:00', 'volume': '0.13779346', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5552.86974781', 'remaining_fee': '0', 'paid_fee': '5552.86974781', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.13779346', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'c847ac84-bb25-437f-a5dd-f6c6aaa1c305', 'side': 'ask', 'ord_type': 'limit', 'price': '73327000', 'avg_price': '73290336.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-05T15:44:49+09:00', 'volume': '0.04343823', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '1592.597545605', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.04343823', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'e64bab47-eefb-4afd-94f6-a0e3b4fef855', 'side': 'ask', 'ord_type': 'limit', 'price': '73003000', 'avg_price': '72966498.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-05T15:42:05+09:00', 'volume': '0.1520338', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '5549.4617507', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.1520338', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '34c21d84-87d9-4f9c-8ca8-c28c655364c8', 'side': 'ask', 'ord_type': 'limit', 'price': '73182000', 'avg_price': '73145409', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-08-05T15:29:29+09:00', 'volume': '0.10859557', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '3973.62050187', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.10859557', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '81cac011-7897-4bea-9944-eb0046d846e0', 'side': 'bid', 'ord_type': 'limit', 'price': '93143000', 'avg_price': '93189571.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-07-30T13:05:04+09:00', 'volume': '0.10702329', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '4984.235150235', 'remaining_fee': '0', 'paid_fee': '4984.235150235', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.10702329', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '3262ca2b-8621-43cb-931c-88e989220b08', 'side': 'bid', 'ord_type': 'limit', 'price': '94795000', 'avg_price': '94842397.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-07-22T10:15:48+09:00', 'volume': '0.10538555', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '4995.011606125', 'remaining_fee': '0', 'paid_fee': '4995.011606125', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.10538555', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '90dbde9e-aa41-42e3-80e1-827cf21bbae7', 'side': 'bid', 'ord_type': 'limit', 'price': '89830000', 'avg_price': '89874915', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-07-19T07:01:19+09:00', 'volume': '0.11133216', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5000.4839664', 'remaining_fee': '0', 'paid_fee': '5000.4839664', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.11133216', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '6ea4ba0e-0eec-4328-bc19-dabea6b856dd', 'side': 'bid', 'ord_type': 'limit', 'price': '90337000', 'avg_price': '90364664.24681707', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-07-18T16:26:44+09:00', 'volume': '0.11064129', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '4997.501107365', 'remaining_fee': '0.967862645', 'paid_fee': '4996.53324472', 'locked': '1936.693152645', 'prevented_locked': '0', 'executed_volume': '0.11064129', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '52f3970e-bafd-42da-861d-0566424c6445', 'side': 'ask', 'ord_type': 'limit', 'price': '92429000', 'avg_price': '92382785.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-06-18T15:45:23+09:00', 'volume': '0.20534521', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '9489.926207545', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.20534521', 'trades_count': 13, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '062c4d14-284d-4c05-8c21-9eaef57e4ad1', 'side': 'ask', 'ord_type': 'limit', 'price': '97725000', 'avg_price': '97676137.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-06-05T09:51:57+09:00', 'volume': '0.2053452', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '10033.679835', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.2053452', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '02e80b59-6b32-47e7-ae56-5bd23d07b3e9', 'side': 'bid', 'ord_type': 'limit', 'price': '94022000', 'avg_price': '94069011', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-16T19:39:53+09:00', 'volume': '0.04252197', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1999.00033167', 'remaining_fee': '0', 'paid_fee': '1999.00033167', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.04252197', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '556510b7-1f63-4207-a9df-d79cf8078454', 'side': 'bid', 'ord_type': 'limit', 'price': '96299000', 'avg_price': '96344638.29197921', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-03T03:15:52+09:00', 'volume': '0.05189568', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2498.75104416', 'remaining_fee': '0.06512786', 'paid_fee': '2498.6859163', 'locked': '130.32084786', 'prevented_locked': '0', 'executed_volume': '0.05189568', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '1ded83c3-db2d-4466-bdc8-0ac10a1ae10f', 'side': 'bid', 'ord_type': 'limit', 'price': '96534000', 'avg_price': '96582267', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-02T17:59:10+09:00', 'volume': '0.00176015', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '84.95716005', 'remaining_fee': '0', 'paid_fee': '84.95716005', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.00176015', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'f147146a-0709-4454-bb26-d1272c53ef75', 'side': 'bid', 'ord_type': 'limit', 'price': '96351000', 'avg_price': '96399175.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-02T14:31:15+09:00', 'volume': '0.00933651', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '449.791037505', 'remaining_fee': '0', 'paid_fee': '449.791037505', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.00933651', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'b3b09f50-5c17-4a6e-a5df-887e06d129b2', 'side': 'bid', 'ord_type': 'limit', 'price': '96300000', 'avg_price': '96347149.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-02T14:29:14+09:00', 'volume': '0.03113708', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1499.250402', 'remaining_fee': '0.01556854', 'paid_fee': '1499.23483346', 'locked': '31.15264854', 'prevented_locked': '0', 'executed_volume': '0.03113708', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'f9e87dc0-63e0-4e35-acbc-2b60f55dd990', 'side': 'bid', 'ord_type': 'limit', 'price': '99713000', 'avg_price': '99762856.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-04-02T10:43:28+09:00', 'volume': '0.0601438', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2998.5593647', 'remaining_fee': '0', 'paid_fee': '2998.5593647', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.0601438', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '1b01b5da-6390-4f57-bab8-966aeb250aa9', 'side': 'bid', 'ord_type': 'limit', 'price': '93602000', 'avg_price': '93646800', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-24T09:20:16+09:00', 'volume': '0.05867524', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2746.05990724', 'remaining_fee': '0.05867524', 'paid_fee': '2746.001232', 'locked': '117.40915524', 'prevented_locked': '0', 'executed_volume': '0.05867524', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '11de09b6-ff73-4163-ab22-8d9c40fbc153', 'side': 'bid', 'ord_type': 'limit', 'price': '93800000', 'avg_price': '93846900', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-20T12:27:53+09:00', 'volume': '0.03622923', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1699.150887', 'remaining_fee': '0', 'paid_fee': '1699.150887', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.03622923', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '1f62c04b-638c-4c83-b3cf-610fa8c17d71', 'side': 'bid', 'ord_type': 'limit', 'price': '96790000', 'avg_price': '96838395', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-19T15:00:25+09:00', 'volume': '0.1135913', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '5497.2509635', 'remaining_fee': '0', 'paid_fee': '5497.2509635', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.1135913', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '6e924d7f-50a3-4176-9315-f9e489fa3c25', 'side': 'ask', 'ord_type': 'limit', 'price': '97273000', 'avg_price': '97291330', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-17T20:29:38+09:00', 'volume': '0.08069977', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '3927.6578059', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.08069977', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '79871b23-18b1-41a0-97a8-06605ea62495', 'side': 'ask', 'ord_type': 'limit', 'price': '96700000', 'avg_price': '96651650', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-17T17:23:13+09:00', 'volume': '0.08069976', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '3901.833396', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.08069976', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'fe723e3f-2e12-4feb-80c0-1e450a673e28', 'side': 'ask', 'ord_type': 'limit', 'price': '95469000', 'avg_price': '95421265.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-17T16:54:28+09:00', 'volume': '0.16139952', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '7704.32538744', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.16139952', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'b68af996-b4c3-4da7-84c7-fd2d2e18b9cf', 'side': 'bid', 'ord_type': 'limit', 'price': '96850000', 'avg_price': '96898425', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T23:26:10+09:00', 'volume': '0.32279905', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '15631.54399625', 'remaining_fee': '0', 'paid_fee': '15631.54399625', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.32279905', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '589def30-e715-4a96-a2bb-0dc9fc4e6faa', 'side': 'ask', 'ord_type': 'limit', 'price': '97311000', 'avg_price': '97262344.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T21:14:27+09:00', 'volume': '0.32600089', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '15861.736303395', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.32600089', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'aaaece8b-4116-46d3-b6b1-6f6ebe4257fd', 'side': 'bid', 'ord_type': 'limit', 'price': '99232000', 'avg_price': '99281616', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T17:15:51+09:00', 'volume': '0.16321818', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '8098.23321888', 'remaining_fee': '0', 'paid_fee': '8098.23321888', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.16321818', 'trades_count': 6, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '154605b4-5700-43f5-b3dc-0dce9438b30d', 'side': 'bid', 'ord_type': 'limit', 'price': '99597000', 'avg_price': '99646798.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T17:01:15+09:00', 'volume': '0.16278271', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '8106.334783935', 'remaining_fee': '0', 'paid_fee': '8106.334783935', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.16278271', 'trades_count': 7, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'eda649f1-f3cd-43e5-9a25-e917a94252ab', 'side': 'ask', 'ord_type': 'limit', 'price': '99167000', 'avg_price': '99117416.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T15:41:26+09:00', 'volume': '0.16426301', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '8144.734956335', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.16426301', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '061d4173-bcdc-4f33-99bb-2b4ea11cdd8c', 'side': 'ask', 'ord_type': 'limit', 'price': '98330000', 'avg_price': '98280835', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-15T13:58:03+09:00', 'volume': '0.164263', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '8075.990395', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.164263', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '9d83c791-e392-4956-a360-f8ea00febcd8', 'side': 'ask', 'ord_type': 'limit', 'price': '94505000', 'avg_price': '94459643.13971004', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-06T21:01:20+09:00', 'volume': '0.05294086', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '2501.63819065', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.05294086', 'trades_count': 6, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'bbf078f9-d91a-4246-b9d5-7467c4229fd0', 'side': 'bid', 'ord_type': 'limit', 'price': '89372000', 'avg_price': '89410683', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-06T10:56:23+09:00', 'volume': '0.05594037', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2499.75137382', 'remaining_fee': '0.16782111', 'paid_fee': '2499.58355271', 'locked': '335.81004111', 'prevented_locked': '0', 'executed_volume': '0.05594037', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '36b73f42-8c23-4868-ac9a-f12d2d6980ee', 'side': 'bid', 'ord_type': 'limit', 'price': '94250000', 'avg_price': '94287120', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-05T21:12:39+09:00', 'volume': '0.20011584', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '9430.45896', 'remaining_fee': '1.0005792', 'paid_fee': '9429.4583808', 'locked': '2002.1589792', 'prevented_locked': '0', 'executed_volume': '0.20011584', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'd1cbe3bd-71ed-4bbf-ab94-d4eb8a055911', 'side': 'ask', 'ord_type': 'limit', 'price': '93853000', 'avg_price': '93806132.02963637', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-05T20:54:31+09:00', 'volume': '0.29502732', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '13844.60817022', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.29502732', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '435f0d0d-08b9-45dc-968d-013b70e0911c', 'side': 'bid', 'ord_type': 'limit', 'price': '88726000', 'avg_price': '88770363', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-04T11:36:09+09:00', 'volume': '0.06753617', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2996.10710971', 'remaining_fee': '0', 'paid_fee': '2996.10710971', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.06753617', 'trades_count': 1, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'b667c7d4-ce01-49ea-b0e7-ff4a7bb3f9d0', 'side': 'bid', 'ord_type': 'limit', 'price': '88374000', 'avg_price': '88239845.53180523', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-04T09:52:11+09:00', 'volume': '0.04519382', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1996.97932434', 'remaining_fee': '4.02795213', 'paid_fee': '1992.95137221', 'locked': '8059.93221213', 'prevented_locked': '0', 'executed_volume': '0.04519382', 'trades_count': 4, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '3cb93850-25bf-4d6d-92c6-dc8246f7c638', 'side': 'bid', 'ord_type': 'limit', 'price': '87680000', 'avg_price': '87723840', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-03-03T21:30:48+09:00', 'volume': '0.18229733', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '7991.9149472', 'remaining_fee': '0', 'paid_fee': '7991.9149472', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.18229733', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '74bdbc4e-4225-41b7-ae8b-f9ccb17d530c', 'side': 'ask', 'ord_type': 'limit', 'price': '87969000', 'avg_price': '88006695.36469725', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-02-29T20:27:03+09:00', 'volume': '0.36324122', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '0', 'remaining_fee': '0', 'paid_fee': '15991.825609025', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.36324122', 'trades_count': 10, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'ac5beaa3-4c80-48bf-b3e1-a9b3315dc850', 'side': 'bid', 'ord_type': 'limit', 'price': '70967000', 'avg_price': '71002483.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-02-26T15:48:29+09:00', 'volume': '0.04225204', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '1499.25026134', 'remaining_fee': '0', 'paid_fee': '1499.25026134', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.04225204', 'trades_count': 2, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': 'b1e1dac4-1ce0-4caa-9239-c7128dabb3ba', 'side': 'bid', 'ord_type': 'limit', 'price': '72087000', 'avg_price': '72123043.5', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-02-17T08:17:33+09:00', 'volume': '0.06932803', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2498.824849305', 'remaining_fee': '0', 'paid_fee': '2498.824849305', 'locked': '0', 'prevented_locked': '0', 'executed_volume': '0.06932803', 'trades_count': 3, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
"{'uuid': '44e005ec-d500-412e-a917-8a3581650ee9', 'side': 'bid', 'ord_type': 'limit', 'price': '71020000', 'avg_price': '71053404.39471374', 'state': 'done', 'market': 'KRW-BTC', 'created_at': '2024-02-15T16:57:40+09:00', 'volume': '0.07037894', 'remaining_volume': '0', 'prevented_volume': '0', 'reserved_fee': '2499.1561594', 'remaining_fee': '0.074058105', 'paid_fee': '2499.082101295', 'locked': '148.190268105', 'prevented_locked': '0', 'executed_volume': '0.07037894', 'trades_count': 5, 'application_name': 'ios', 'thirdparty': False, 'is_cancel_and_newable': True}"
